Trade No.,Buy,Sell @ 2%,Total Fees,Net Profit,Total Capital,Growth %,Brokerage,STT 0.1%,T C 0.0030699%,SEBI 10/crore,Stamp Duty 0.015%,DP,income tax 30%
1,4500,4590,81.25314391,8.74685609,4506.122799,0.1360622058,47.2,9.09,0.27905391,0.00909,0.675,24,2.624056827
2,4545,4635.9,81.35367535,9.546324651,4512.805227,0.2845605893,47.2,9.1809,0.2818444491,0.0091809,0.68175,24,2.863897395
3,4590.45,4682.259,81.4552121,10.3537879,4520.052878,0.4456195122,47.2,9.272709,0.2846628936,0.009272709,0.6885675,24,3.106136369
4,4636.3545,4729.08159,81.55776422,11.16932578,4527.871406,0.6193645798,47.2,9.36543609,0.2875095225,0.00936543609,0.695453175,24,3.350797733
5,4682.718045,4776.372406,81.66134187,11.99301903,4536.266519,0.8059226536,47.2,9.459090451,0.2903846178,0.009459090451,0.7024077068,24,3.59790571
6,4729.545225,4824.13613,81.76595528,12.82494922,4545.243984,1.005421864,47.2,9.553681355,0.2932884639,0.009553681355,0.7094317838,24,3.847484767
7,4776.840678,4872.377491,81.87161484,13.66519872,4554.809623,1.217991622,47.2,9.649218169,0.2962213486,0.009649218169,0.7165261017,24,4.099559615
8,4824.609084,4921.101266,81.97833099,14.5138507,4564.969318,1.443762633,47.2,9.745710351,0.2991835621,0.009745710351,0.7236913627,24,4.354155211
9,4872.855175,4970.312279,82.0861143,15.37098921,4575.729011,1.682866909,47.2,9.843167454,0.3021753977,0.009843167454,0.7309282763,24,4.611296763
10,4921.583727,5020.015402,82.19497544,16.2366991,4587.0947,1.935437784,47.2,9.941599129,0.3051971517,0.009941599129,0.7382375591,24,4.871009731
11,4970.799564,5070.215556,82.30492519,17.11106609,4599.072447,2.201609923,47.2,10.04101512,0.3082491232,0.01004101512,0.7456199347,24,5.133319828
12,5020.50756,5120.917711,82.41597444,17.99417676,4611.66837,2.48151934,47.2,10.14142527,0.3113316144,0.01014142527,0.753076134,24,5.398253027
13,5070.712636,5172.126888,82.52813419,18.88611852,4624.888653,2.775303405,47.2,10.24283952,0.3144449305,0.01024283952,0.7606068953,24,5.665835557
14,5121.419762,5223.848157,82.64141553,19.78697971,4638.739539,3.083100868,47.2,10.34526792,0.3175893798,0.01034526792,0.7682129643,24,5.936093912
15,5172.63396,5276.086639,82.75582969,20.6968495,4653.227334,3.40505186,47.2,10.4487206,0.3207652736,0.0104487206,0.7758950939,24,6.209054851
16,5224.360299,5328.847505,82.87138798,21.615818,4668.358406,3.741297918,47.2,10.5532078,0.3239729264,0.0105532078,0.7836540449,24,6.4847454
17,5276.603902,5382.13598,82.98810186,22.54397618,4684.13919,4.091981992,47.2,10.65873988,0.3272126556,0.01065873988,0.7914905853,24,6.763192854
18,5329.369941,5435.95734,83.10598288,23.48141594,4700.576181,4.457248462,47.2,10.76532728,0.3304847822,0.01076532728,0.7994054912,24,7.044424783
19,5382.663641,5490.316913,83.22504271,24.4282301,4717.675942,4.837243152,47.2,10.87298055,0.33378963,0.01087298055,0.8073995461,24,7.32846903
20,5436.490277,5545.220083,83.34529314,25.3845124,4735.445101,5.232113345,47.2,10.98171036,0.3371275263,0.01098171036,0.8154735415,24,7.615353721
21,5490.85518,5600.672283,83.46674607,26.35035753,4753.890351,5.642007796,47.2,11.09152746,0.3404988016,0.01109152746,0.823628277,24,7.905107258
22,5545.763732,5656.679006,83.58941353,27.3258611,4773.018454,6.067076746,47.2,11.20244274,0.3439037896,0.01120244274,0.8318645597,24,8.19775833
23,5601.221369,5713.245796,83.71330767,28.31111971,4792.836237,6.507471942,47.2,11.31446717,0.3473428275,0.01131446717,0.8401832053,24,8.493335914
24,5657.233583,5770.378254,83.83844074,29.30623091,4813.350599,6.963346645,47.2,11.42761184,0.3508162558,0.01142761184,0.8485850374,24,8.791869273
25,5713.805918,5828.082037,83.96482515,30.31129322,4834.568504,7.43485565,47.2,11.54188796,0.3543244183,0.01154188796,0.8570708878,24,9.093387966
26,5770.943978,5886.362857,84.0924734,31.32640615,4856.496989,7.922155301,47.2,11.65730683,0.3578676625,0.01165730683,0.8656415966,24,9.397921845
27,5828.653417,5945.226486,84.22139813,32.35167021,4879.143158,8.425403505,47.2,11.7738799,0.3614463391,0.0117738799,0.8742980126,24,9.705501064
28,5886.939952,6004.678751,84.35161212,33.38718691,4902.514189,8.944759746,47.2,11.8916187,0.3650608025,0.0118916187,0.8830409927,24,10.01615607
29,5945.809351,6064.725538,84.48312824,34.43305878,4926.61733,9.480385105,47.2,12.01053489,0.3687114106,0.01201053489,0.8918714027,24,10.32991764
30,6005.267445,6125.372793,84.61595952,35.48938937,4951.459902,10.03244227,47.2,12.13064024,0.3723985247,0.01213064024,0.9007901167,24,10.64681681
31,6065.320119,6186.626521,84.75011911,36.55628327,4977.049301,10.60109557,47.2,12.25194664,0.3761225099,0.01225194664,0.9097980178,24,10.96688498
32,6125.97332,6248.492787,84.88562031,37.6338461,5003.392993,11.18651095,47.2,12.37446611,0.379883735,0.01237446611,0.918895998,24,11.29015383
33,6187.233053,6310.977714,85.02247651,38.72218456,5030.498522,11.78885604,47.2,12.49821077,0.3836825724,0.01249821077,0.928084958,24,11.61665537
34,6249.105384,6374.087492,85.16070127,39.8214064,5058.373506,12.40830014,47.2,12.62319288,0.3875193981,0.01262319288,0.9373658076,24,11.94642192
35,6311.596438,6437.828367,85.30030829,40.93162047,5087.025641,13.04501424,47.2,12.7494248,0.3913945921,0.0127494248,0.9467394657,24,12.27948614
36,6374.712402,6502.20665,85.44131137,42.05293667,5116.462696,13.69917103,47.2,12.87691905,0.395308538,0.01287691905,0.9562068603,24,12.615881
37,6438.459526,6567.228717,85.58372448,43.18546604,5146.692523,14.37094495,47.2,13.00568824,0.3992616234,0.01300568824,0.9657689289,24,12.95563981
38,6502.844121,6632.901004,85.72756173,44.3293207,5177.723047,15.06051216,47.2,13.13574513,0.4032542396,0.01313574513,0.9754266182,24,13.29879621
39,6567.872563,6699.230014,85.87283735,45.48461391,5209.562277,15.7680506,47.2,13.26710258,0.407286782,0.01326710258,0.9851808844,24,13.64538417
40,6633.551288,6766.222314,86.01956572,46.65146005,5242.218299,16.49373998,47.2,13.3997736,0.4113596498,0.0133997736,0.9950326932,24,13.99543801
41,6699.886801,6833.884537,86.16776138,47.82997465,5275.699281,17.23776181,47.2,13.53377134,0.4154732463,0.01353377134,1.00498302,24,14.34899239
42,6766.885669,6902.223383,86.31743899,49.02027439,5310.013473,18.00029941,47.2,13.66910905,0.4196279788,0.01366910905,1.01503285,24,14.70608232
43,6834.554526,6971.245616,86.46861338,50.22247714,5345.169207,18.78153794,47.2,13.80580014,0.4238242586,0.01380580014,1.025183179,24,15.06674314
44,6902.900071,7040.958073,86.62129951,51.43670191,5381.174899,19.58166441,47.2,13.94385814,0.4280625012,0.01394385814,1.035435011,24,15.43101057
45,6971.929072,7111.367653,86.77551251,52.66306893,5418.039047,20.40086771,47.2,14.08329673,0.4323431262,0.01408329673,1.045789361,24,15.79892068
46,7041.648363,7182.48133,86.93126763,53.90169962,5455.770237,21.23933859,47.2,14.22412969,0.4366665574,0.01422412969,1.056247254,24,16.17050989
47,7112.064846,7254.306143,87.08858031,55.15271661,5494.377138,22.09726974,47.2,14.36637099,0.441033223,0.01436637099,1.066809727,24,16.54581498
48,7183.185495,7326.849205,87.24746611,56.41624378,5533.868509,22.97485575,47.2,14.5100347,0.4454435552,0.0145100347,1.077477824,24,16.92487313
49,7255.01735,7400.117697,87.40794077,57.69240622,5574.253193,23.87229318,47.2,14.65513505,0.4498979908,0.01465513505,1.088252602,24,17.30772187
50,7327.567523,7474.118874,87.57002018,58.98133028,5615.540124,24.78978054,47.2,14.8016864,0.4543969707,0.0148016864,1.099135128,24,17.69439908
51,7400.843198,7548.860062,87.73372038,60.28314358,5657.738325,25.72751833,47.2,14.94970326,0.4589409404,0.01494970326,1.11012648,24,18.08494307
52,7474.85163,7624.348663,87.89905759,61.59797502,5700.856907,26.68570905,47.2,15.09920029,0.4635303498,0.01509920029,1.121227745,24,18.47939251
53,7549.600147,7700.59215,88.06604816,62.92595477,5744.905076,27.66455724,47.2,15.2501923,0.4681656533,0.0152501923,1.132440022,24,18.87778643
