Trade #,Buy Amount (USDT),Sell Gross (USDT),Fee (0.4%),Sell After Fee,Net Profit,Total Capital (USDT),Total Capital (INR),Growth %
1,1,1.015,0.00406,1.01094,0.01094,1.01094,80.88,1.09
2,1.01,1.02515,0.004101,1.021049,0.011049,1.021989,81.76,2.2
3,1.0201,1.035401,0.004142,1.03126,0.01116,1.033149,82.65,3.31
4,1.030301,1.045756,0.004183,1.041572,0.011271,1.044421,83.55,4.44
5,1.040604,1.056213,0.004225,1.051988,0.011384,1.055805,84.46,5.58
6,1.05101,1.066775,0.004267,1.062508,0.011498,1.067303,85.38,6.73
7,1.06152,1.077443,0.00431,1.073133,0.011613,1.078916,86.31,7.89
8,1.072135,1.088217,0.004353,1.083865,0.011729,1.090645,87.25,9.06
9,1.082857,1.0991,0.004396,1.094703,0.011846,1.102492,88.2,10.25
10,1.093685,1.110091,0.00444,1.10565,0.011965,1.114457,89.16,11.45
11,1.104622,1.121191,0.004485,1.116707,0.012085,1.126541,90.12,12.65
12,1.115668,1.132403,0.00453,1.127874,0.012205,1.138747,91.1,13.87
13,1.126825,1.143727,0.004575,1.139152,0.012327,1.151074,92.09,15.11
14,1.138093,1.155165,0.004621,1.150544,0.012451,1.163525,93.08,16.35
15,1.149474,1.166716,0.004667,1.162049,0.012575,1.1761,94.09,17.61
16,1.160969,1.178383,0.004714,1.17367,0.012701,1.188801,95.1,18.88
17,1.172579,1.190167,0.004761,1.185407,0.012828,1.201629,96.13,20.16
18,1.184304,1.202069,0.004808,1.197261,0.012956,1.214585,97.17,21.46
19,1.196147,1.21409,0.004856,1.209233,0.013086,1.227671,98.21,22.77
20,1.208109,1.226231,0.004905,1.221326,0.013217,1.240888,99.27,24.09
21,1.22019,1.238493,0.004954,1.233539,0.013349,1.254237,100.34,25.42
22,1.232392,1.250878,0.005004,1.245874,0.013482,1.267719,101.42,26.77
23,1.244716,1.263387,0.005054,1.258333,0.013617,1.281336,102.51,28.13
24,1.257163,1.27602,0.005104,1.270916,0.013753,1.29509,103.61,29.51
25,1.269735,1.288781,0.005155,1.283626,0.013891,1.308981,104.72,30.9
