Trade #,Buy Amount (INR),Sell Gross (INR),Fee (INR),Sell After Fee (INR),Net Profit (INR),Total Capital (INR),Growth (%)
1,2000.0,2040.0,24.09,2015.91,15.91,15.91,0.8
2,2020.0,2060.4,24.09,2036.31,16.31,32.21,1.61
3,2040.2,2081.0,24.09,2056.91,16.71,48.92,2.45
4,2060.6,2101.81,24.1,2077.72,17.12,66.04,3.3
5,2081.21,2122.83,24.1,2098.74,17.53,83.57,4.18
6,2102.02,2144.06,24.1,2119.96,17.94,101.51,5.08
7,2123.04,2165.5,24.1,2141.4,18.36,119.87,5.99
8,2144.27,2187.16,24.1,2163.06,18.79,138.66,6.93
9,2165.71,2209.03,24.1,2184.93,19.21,157.87,7.89
10,2187.37,2231.12,24.1,2207.02,19.65,177.52,8.88
11,2209.24,2253.43,24.1,2229.33,20.08,197.6,9.88
12,2231.34,2275.96,24.1,2251.86,20.52,218.12,10.91
13,2253.65,2298.72,24.1,2274.62,20.97,239.09,11.95
14,2276.19,2321.71,24.11,2297.6,21.42,260.51,13.03
15,2298.95,2344.93,24.11,2320.82,21.87,282.38,14.12
16,2321.94,2368.38,24.11,2344.27,22.33,304.71,15.24
17,2345.16,2392.06,24.11,2367.95,22.79,327.51,16.38
18,2368.61,2415.98,24.11,2391.87,23.26,350.77,17.54
19,2392.29,2440.14,24.11,2416.03,23.73,374.5,18.73
20,2416.22,2464.54,24.11,2440.43,24.21,398.71,19.94
21,2440.38,2489.19,24.11,2465.07,24.69,423.41,21.17
22,2464.78,2514.08,24.11,2489.97,25.18,448.59,22.43
23,2489.43,2539.22,24.12,2515.1,25.67,474.26,23.71
24,2514.33,2564.61,24.12,2540.5,26.17,500.43,25.02
25,2539.47,2590.26,24.12,2566.14,26.67,527.1,26.36
26,2564.86,2616.16,24.12,2592.04,27.18,554.28,27.71
27,2590.51,2642.32,24.12,2618.2,27.69,581.97,29.1
28,2616.42,2668.75,24.12,2644.62,28.21,610.18,30.51
29,2642.58,2695.43,24.12,2671.31,28.73,638.91,31.95
30,2669.01,2722.39,24.12,2698.26,29.26,668.16,33.41
31,2695.7,2749.61,24.13,2725.49,29.79,697.95,34.9
32,2722.65,2777.11,24.13,2752.98,30.33,728.28,36.41
33,2749.88,2804.88,24.13,2780.75,30.87,759.15,37.96
34,2777.38,2832.93,24.13,2808.8,31.42,790.57,39.53
